car_id,model_year,mileage_km,horsepower,previous_owners,airbags_count,warranty_months,price_brl_log,engine_size_liters_log,brand_Fiat,brand_Ford,brand_Honda,brand_Hyundai,brand_Toyota,brand_Volkswagen,fuel_type_Elétrico,fuel_type_Etanol,fuel_type_Flex,fuel_type_Gasolina,fuel_type_Híbrido,transmission_Automática,transmission_Cvt,transmission_Manual,drivetrain_Dianteira,drivetrain_Traseira,condition_Excelente,condition_Regular,condition_Ruim,accident_history_2+ Acidentes,accident_history_Sem Acidentes,service_history_Parcial,service_history_Sem Histórico,air_conditioning_Sim,power_steering_Sim,power_windows_Sim,abs_brakes_Sim,interior_material_Couro Sintético,interior_material_Tecido,sound_system_Multimídia,sound_system_Premium,sunroof_Sim,parking_sensors_Sim,imported_Sim,color_Branco,color_Cinza,color_Prata,color_Preto,color_Vermelho,car_age,km_per_year_score,usage_intensity
Car00197,1.387171299043096,0.9792033376223246,-1.1982906043017933,-1.4662426714331322,1.5587517318179853,-0.8631902539153127,9.956412015844014,-0.22506287377365783,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,-1.3871712990430958,2.280055619867364,2.280055619867364
Car00987,0.9267904649078922,-1.6379293331784626,-1.3439881779000658,-0.05079626226451876,-0.40293724357458727,1.7026989142534406,11.511654657836782,1.2015681247529082,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,-0.9267904649078922,-0.8642873084747227,-0.8642873084747227
Car01091,-0.45435203749771885,1.1421682387967935,-0.42609346423094935,1.3646501469040946,-1.187612833731616,-0.8631902539153127,9.679593719831214,0.760473732551322,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0.45435203749771885,-0.024806027342461623,-0.024806027342461623
Car00388,-1.605304122835728,1.2487090282057647,-0.6592095819881854,-0.05079626226451876,-1.5799506288101306,-0.29299266098892307,8.987321812850125,-1.3907052734306438,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1.605304122835728,-0.29387265626535425,-0.29387265626535425
Car02222,0.23621921370508664,0.5023064707440723,0.27325488904075834,-0.05079626226451876,0.3817383465824417,-1.3383549146873042,10.223866701574616,-0.22506287377365783,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.23621921370508667,0.04391314851044962,0.04391314851044962
Car00169,-0.6845424545653208,0.3693567289024527,0.15669683016214042,0.6569269423197879,0.7740761416609562,0.4672707962462631,10.024819837703653,0.760473732551322,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0.6845424545653208,-0.3301868136866296,-0.3301868136866296
Car01379,-0.45435203749771885,-1.1668462751431194,1.4388354778269379,1.3646501469040946,0.7740761416609562,1.512633049944644,10.733326750679167,-0.22506287377365783,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.45435203749771885,-0.765872721989683,-0.765872721989683
Car02463,-0.22416162043011706,1.2530693848379466,-0.9506047291847302,-0.05079626226451876,-0.7952750386531018,-1.5284207789961006,8.987321812850125,-0.22506287377365783,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0.22416162043011703,0.10797040244731469,0.10797040244731469
Car00706,-0.9147328716329226,-1.5017710270225957,1.6573818382243464,-1.4662426714331322,0.7740761416609562,1.4176001177902458,9.23863624113103,0.760473732551322,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.9147328716329226,-0.8868544289063428,-0.8868544289063428
Car02077,1.387171299043096,0.6072566898092289,-0.2512563759130224,0.6569269423197879,-1.5799506288101306,-1.1482890503785075,9.778434403532566,1.2015681247529082,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-1.3871712990430958,1.8423494060439838,1.8423494060439838
Car01849,-1.3751137057681262,-0.1463308578262474,1.6719515955841735,0.6569269423197879,-0.7952750386531018,1.512633049944644,9.405742668308667,1.2015681247529082,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1.3751137057681264,-0.5777306060472861,-0.5777306060472861
Car01412,1.617361716110698,0.2925979980000819,0.36067343319972184,-1.4662426714331322,-0.7952750386531018,0.4672707962462631,11.05887392193842,-0.49716065503419066,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.6173617161106977,2.6886120779113463,2.6886120779113463
Car00431,-1.3751137057681262,0.47423838890106546,0.41895246263903074,-1.4662426714331322,-0.7952750386531018,1.132501321327051,9.28961355287069,3.040815371034143,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.3751137057681264,-0.43167362879138,-0.43167362879138
Car02148,1.617361716110698,-1.1408349652964245,-1.1545813322223115,-1.4662426714331322,-0.7952750386531018,-1.0532561182241094,10.745550305055986,0.760473732551322,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,-1.6173617161106977,0.15831968722918785,0.15831968722918785
Car02493,0.6966000478402903,1.4560316454340332,-1.067162788063348,-0.7585194668488254,1.1664139367394708,1.7026989142534406,9.7313341246578,-0.22506287377365783,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-0.6966000478402903,0.9400704722401811,0.9400704722401811
Car01620,1.156980881975494,1.5048457008131757,-1.475115994138511,-0.05079626226451876,-0.7952750386531018,-0.48305852529771964,10.225063676635465,0.2866767991881376,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,-1.156980881975494,1.9337116630176612,1.9337116630176612
Car00862,0.46640963077268854,-1.630716919378061,-0.8340466703061121,-0.05079626226451876,-1.187612833731616,0.4672707962462631,11.036340224358938,0.760473732551322,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,-0.46640963077268854,-0.888294969420614,-0.888294969420614
