car_id,model_year,mileage_km,horsepower,previous_owners,airbags_count,warranty_months,price_brl_log,engine_size_liters_log,brand_Fiat,brand_Ford,brand_Honda,brand_Hyundai,brand_Toyota,brand_Volkswagen,fuel_type_Elétrico,fuel_type_Etanol,fuel_type_Flex,fuel_type_Gasolina,fuel_type_Híbrido,transmission_Automática,transmission_Cvt,transmission_Manual,drivetrain_Dianteira,drivetrain_Traseira,condition_Excelente,condition_Regular,condition_Ruim,accident_history_2+ Acidentes,accident_history_Sem Acidentes,service_history_Parcial,service_history_Sem Histórico,air_conditioning_Sim,power_steering_Sim,power_windows_Sim,abs_brakes_Sim,interior_material_Couro Sintético,interior_material_Tecido,sound_system_Multimídia,sound_system_Premium,sunroof_Sim,parking_sensors_Sim,imported_Sim,color_Branco,color_Cinza,color_Prata,color_Preto,color_Vermelho,car_age,km_per_year_score,usage_intensity
Car00197,1.3871712990431129,0.9792033376223248,-1.1982906043017936,-1.4662426714331322,1.558751731817985,-0.8631902539153129,9.956412015844014,-0.22506287377365766,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,-1.387171299043096,2.2800556198673636,2.2800556198673636
Car00987,0.9267904649079092,-1.6379293331784623,-1.343988177900066,-0.05079626226451879,-0.4029372435745874,1.7026989142534403,11.511654657836782,1.2015681247529084,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,-0.9267904649078924,-0.8642873084747225,-0.8642873084747225
Car01091,-0.4543520374977019,1.1421682387967937,-0.4260934642309495,1.3646501469040946,-1.1876128337316163,-0.8631902539153129,9.679593719831214,0.7604737325513222,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0.4543520374977187,-0.024806027342461665,-0.024806027342461665
Car00388,-1.6053041228357112,1.248709028205765,-0.6592095819881855,-0.05079626226451879,-1.5799506288101308,-0.2929926609889233,8.987321812850125,-1.3907052734306435,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1.6053041228357279,-0.29387265626535425,-0.29387265626535425
Car02222,0.2362192137051036,0.5023064707440725,0.27325488904075834,-0.05079626226451879,0.3817383465824416,-1.3383549146873044,10.223866701574616,-0.22506287377365766,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.23621921370508683,0.043913148510449564,0.043913148510449564
Car00169,-0.6845424545653038,0.36935672890245286,0.1566968301621404,0.6569269423197879,0.7740761416609561,0.4672707962462629,10.024819837703653,0.7604737325513222,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0.6845424545653206,-0.3301868136866296,-0.3301868136866296
Car01379,-0.4543520374977019,-1.1668462751431192,1.438835477826938,1.3646501469040946,0.7740761416609561,1.5126330499446439,10.733326750679167,-0.22506287377365766,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.4543520374977187,-0.7658727219896828,-0.7658727219896828
Car02463,-0.2241616204301001,1.2530693848379468,-0.9506047291847304,-0.05079626226451879,-0.7952750386531019,-1.5284207789961008,8.987321812850125,-0.22506287377365766,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0.22416162043011686,0.10797040244731462,0.10797040244731462
Car00706,-0.9147328716329056,-1.5017710270225955,1.6573818382243468,-1.4662426714331322,0.7740761416609561,1.4176001177902455,9.23863624113103,0.7604737325513222,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.9147328716329224,-0.8868544289063426,-0.8868544289063426
Car02077,1.3871712990431129,0.6072566898092291,-0.2512563759130225,0.6569269423197879,-1.5799506288101308,-1.1482890503785077,9.778434403532566,1.2015681247529084,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-1.387171299043096,1.8423494060439833,1.8423494060439833
Car01849,-1.3751137057681093,-0.14633085782624725,1.671951595584174,0.6569269423197879,-0.7952750386531019,1.5126330499446439,9.405742668308667,1.2015681247529084,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1.3751137057681262,-0.577730606047286,-0.577730606047286
Car01412,1.6173617161107148,0.29259799800008207,0.36067343319972184,-1.4662426714331322,-0.7952750386531019,0.4672707962462629,11.05887392193842,-0.4971606550341905,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.617361716110698,2.688612077911346,2.688612077911346
Car00431,-1.3751137057681093,0.4742383889010656,0.4189524626390308,-1.4662426714331322,-0.7952750386531019,1.1325013213270507,9.28961355287069,3.040815371034143,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.3751137057681262,-0.43167362879137994,-0.43167362879137994
Car02148,1.6173617161107148,-1.1408349652964243,-1.1545813322223117,-1.4662426714331322,-0.7952750386531019,-1.0532561182241096,10.745550305055986,0.7604737325513222,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,-1.617361716110698,0.15831968722918777,0.15831968722918777
Car02493,0.6966000478403073,1.4560316454340334,-1.0671627880633483,-0.7585194668488254,1.1664139367394706,1.7026989142534403,9.7313341246578,-0.22506287377365766,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-0.6966000478402905,0.9400704722401809,0.9400704722401809
Car01620,1.156980881975511,1.504845700813176,-1.4751159941385112,-0.05079626226451879,-0.7952750386531019,-0.48305852529771987,10.225063676635465,0.28667679918813777,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,-1.1569808819754943,1.9337116630176607,1.9337116630176607
Car00862,0.4664096307727055,-1.6307169193780608,-0.8340466703061123,-0.05079626226451879,-1.1876128337316163,0.4672707962462629,11.036340224358938,0.7604737325513222,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,-0.4664096307726887,-0.8882949694206138,-0.8882949694206138
Car00283,-1.6053041228357112,1.5134155841311434,-0.7466281261471489,-0.05079626226451879,-0.010599448496072887,1.227534253481449,8.987321812850125,-0.22506287377365766,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1.6053041228357279,-0.23546523494083843,-0.23546523494083843
Car01514,0.6966000478403073,0.47500625044635547,-0.68834909670784,-0.7585194668488254,-0.7952750386531019,-0.2929926609889233,10.034471954331547,0.7604737325513222,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,-0.6966000478402905,0.36283592283725485,0.36283592283725485
Car00650,0.4664096307727055,0.9229437676165322,-0.6737793393480127,-1.4662426714331322,1.558751731817985,-0.19795972883452503,10.800085651064547,-0.4971606550341905,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.4664096307726887,0.3996237882821487,0.3996237882821487
Car01076,1.3871712990431129,0.6530541462604471,0.02556901392369516,0.6569269423197879,0.3817383465824416,1.4176001177902455,10.82283361213929,0.28667679918813777,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,-1.387171299043096,1.8962437787554072,1.8962437787554072
Car01356,-1.1449232887005074,0.16230834794035942,1.6573818382243468,0.6569269423197879,-0.7952750386531019,-0.10292679668012676,9.515837804297965,-0.4971606550341905,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1.1449232887005243,-0.47252109131848463,-0.47252109131848463
Car01383,0.6966000478403073,0.3959165112814976,-1.3148486631804115,1.3646501469040946,1.558751731817985,-0.3880255931433216,10.400619849170116,0.28667679918813777,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,-0.6966000478402905,0.3162995842445163,0.3162995842445163
Car01088,0.4664096307727055,1.3740212900344122,0.5355105215176488,-0.7585194668488254,1.558751731817985,0.5623037284006611,9.218209330354878,0.28667679918813777,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,-0.4664096307726887,0.6271212021941742,0.6271212021941742
Car02143,-1.3751137057681093,-1.1643644369342359,-0.5572212804693947,1.3646501469040946,0.7740761416609561,-1.0532561182241096,9.76036747794131,2.0017777591320036,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1.3751137057681262,-0.8173346600568476,-0.8173346600568476
Car01217,1.3871712990431129,0.6565506586541778,0.8269056687141937,0.6569269423197879,-0.4029372435745874,1.4176001177902455,10.872161984089844,0.28667679918813777,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,-1.387171299043096,1.9003584688875668,1.9003584688875668
Car00938,-0.2241616204301001,-0.901632382125317,0.6957778524757485,-0.05079626226451879,1.1664139367394706,-0.6731243896065164,11.50960997480191,0.28667679918813777,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0.22416162043011686,-0.6527244643148352,-0.6527244643148352
Car00057,1.3871712990431129,-1.3179778814321386,-0.14926807439423181,1.3646501469040946,-1.5799506288101308,1.4176001177902455,11.32824512844138,-0.22506287377365766,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,-1.387171299043096,-0.42326352488204033,-0.42326352488204033
Car00932,0.9267904649079092,-1.1969025699158946,0.8851846981535028,-0.05079626226451879,-1.1876128337316163,-1.243321982532906,11.165677376847421,0.7604737325513222,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.9267904649078924,-0.5528875592728822,-0.5528875592728822
Car00980,-0.2241616204301001,-1.5463069966494087,-1.169151089582139,-1.4662426714331322,-1.5799506288101308,-1.7184866433048973,8.987321812850125,-0.22506287377365766,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.22416162043011686,-0.8803200775543845,-0.8803200775543845
Car00644,-1.1449232887005074,-0.6298505305326247,0.24411537432110386,-1.4662426714331322,1.558751731817985,-1.4333878468417025,10.123425972901389,-0.4971606550341905,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1.1449232887005243,-0.6722806529278339,-0.6722806529278339
Car02437,-0.9147328716329056,-0.4817766586114561,1.613672566144865,0.6569269423197879,1.1664139367394706,-1.0532561182241096,9.891870333195937,-0.22506287377365766,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0.9147328716329224,-0.609855723430243,-0.609855723430243
Car00045,-1.3751137057681093,0.2116434522252344,-0.8049071555864579,-1.4662426714331322,0.3817383465824416,0.6573366605550595,8.987321812850125,-1.3907052734306435,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.3751137057681262,-0.4934778881803909,-0.4934778881803909
